scholarship_name,requirement,deadline,who_can_apply,amount,link
"Atlas Shrugged Essay Contest",Essay,2023-11-06,Anyone,NULL,NULL
"Mark Mariani Grant",Essay,2023-12-15,"First Gen Americans",10000,NULL
"Mark Mariani Grant",Essay,2023-12-15,"First Gen Americans",10000,https://markmarianigrant.com/mark-mariani-grant/
"Type Rating Scholarship","ATP license, min of 3000 hrs flight time
     min of 500 multi-engine turbine flight time",2023-11-01,"A female In pursuit of a career as an airline pilot",10000,https://isa21.org/scholarship/type-rating-scholarships/
"Contevo Digital Marketing​ Scholarship","project(s), resume, letters of reference, proof of enrollment",2023-12-31,"An undergrad obtaining a business, communications, web, or design degree",5000,https://contevo.com.au/scholarship/
"CrowdReviews.com “Transparency” Scholarship","essay, GPA>3.0",2024-08-15,"An undergrad who is a US citizen",5000,https://www.scholarshipdesk.com/crowdreviews-com-transparency-scholarship/
"Gulab Goodness Gaming Student Scholarship","research paper, GPA>3.0",2024-01-31,"An undergrad with little financial means who wants to pursue a career in gaming",5000,https://www.gulabgoodness.com/gaming-student-scholarship-program/
"Gya Labs’ Research Paper Contest","Research paper about aromatherapy (above 2000 words)",2023-12-31,Anyone,5000,https://gyalabs.com/pages/research-paper-contest-for-everyone
"BeArt-Presets Academic Scholarship","Application relevant to digital photography (above 10000 words)",2024-04-01,"high school senior accepted into college, an undergrad, or graduate student",5000,https://www.beart-presets.com/beart-scholarship-program
"Kitchen Cabinet Kings Entrepreneur Scholarship","Essay about: How do you see AI revolutionizing small business in the future?",2023-10-25,"high school senior accepted into college, an undergrad, or graduate student",5000,https://kitchencabinetkings.com/scholarship
"EZPlumbingUSA Mobile Application Development Scholarship","Creating a mobile app",2024-05-15,"high school senior accepted into college, an undergrad, or graduate student for IT",5000,https://www.ezplumbingusa.com/scholarship-program-for-mobile-application-development-students/
"All Star Plumbing Graphic Web Design Scholarship",GPA>3.0,2023-05-15,"at least 18 yrs old, enrolled in a unversity for graphic design, completed a semester in college",5000,https://www.allstarplumbingservice.com/wp-content/uploads/2020/02/02_Scholarship-For-Graphic-Web-Design-Students.pdf
"CalisChoice Mobile Application Development Scholarship	","mobile app that can benefit society as a whole",2024-05-15,"enrolled in a unversity for IT, above 18 years old",5000,https://www.allstarplumbingservice.com/wp-content/uploads/2020/02/3_Scholarship-Gaming-Students.pdf
"CalisChoice Graphic Design Scholarship	","design 5 logos and 1 version of homepage, reference letters, and portfolio",2024-05-15,"GPA>3.0, above 18 years old, enrolled in university for graphic design",5000,https://www.calischoice.com/wp-content/uploads/2022/10/02_Scholarship-Program-For-Graphic-Web-Design-Students.pdf
"CalisChoice Gaming Scholarship	","research paper, financial aid application ",2024-05-15,"GPA>3.0, above 18 years old, enrolled in university for computer science or computer engineering",5000,https://www.calischoice.com/scholarship-program-for-gaming-students/
"Calischoice Global Scholarship	","project useful to other student 1500-2000 words length",2024-05-15,"enrolled in university",5000,https://www.calischoice.com/wp-content/uploads/2022/10/01_Global-Students-Scholarship-Program.pdf
"Frank J. Vigilante Scholarship","high academic achievement, essay (500 words or less)",2023-11-01,"Italian descent, enrolled in university, financial need",5000,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/ethnicity/italian/frank-j-vigilante-scholarship#
"Trial Pro, P.A. Scholarship","transcript, recommendation letter, 10 creative pieces",2024-03-30,"GPA>3.0, high school senior, enrolled in university, US citizen",5000,https://www.trialpro.com/scholarships/
"Dominguez Firm Collegiate Scholarship	","an essay between 500-700 words and/or a 1-2 minute video, transcript ",2023-12-31,"high school senior, 1st or second year student, community service, GPA>3.0",5000,https://dominguezfirm.com/scholarships/
"Dominguez Firm Collegiate Scholarship	","an essay between 500-700 words and/or a 1-2 minute video, transcript ",2023-12-31,"high school senior, 1st or second year student, community service, GPA>3.0",5000,https://dominguezfirm.com/scholarships/
"Mesothelioma.com Scholarship","an essay about your cancer experience",2024-03-31,"enrolled in university, GPA>3.2, be a US citizen",4000,https://www.mesothelioma.com/scholarship/
"New York Pass Education Scholarship (less than 280 characters)","say what attractions you would like to visit in NY",2023-09-09,"enrolled in university, be a US citizen",4000,https://newyorkpass.com/en-us/education-scholarship
"Ronald D. Weiss College Scholarship",essay,2023-09-09,"enrolled in college",3500,https://www.ny-bankruptcy.com/scholarship
"WellBefore Scholarship	","an essay of minimum 300 words",2024-01-04,"enrolled in college or a high school senior, at least 18, a legal resident of US",3000,https://wellbefore.com/pages/scholarship
"UPE Scholarship Award","letters of recommendation, high academic achievement, extracurriculars related to computing",2024-10-31,"enrolled in a university for computing",1000,https://www.computer.org/volunteering/awards/scholarships/upe-student-award
"Future Designer Scholarship","design holiday greeting card",2023-12-01,"high school senior or university student",2500,https://scholarships360.org/scholarships/search/future-designer-scholarship/
"Net Solutions Scholarship",essay,2023-09-06,"high school senior or university student",2500,https://www.netsolutions.com/scholarship/
"Mama Of 3 Munchkins Scholarship","essay between 1000-1200 words",2023-12-31,"high school senior or university student, 18 yrs old or over",2500,https://mamaof3munchkins.com/mama-of-3-munchkins-scholarship/
"MyUS Global Leaders Scholarship",essay,2023-11-30,"high school student or university student",2500,https://www.myus.com/scholarships/the-global-perspectives-scholarship/
"Young Innovator Scholarship","750 word essay, transcript, resume",2023-09-30,"law program or university student, GPA>3.0",2500,https://studentscholarships.org/scholarship/17611/young-innovator-scholarship
"ACIS Travel Scholarship","art, photography, essay, or anything you wish",2024-01-31,"student aged 11-20 interested in educational travel",2500,https://acis.com/students/scholarships-fundraising/
"Goostree Law Group Bright Futures Scholarship","high quality essay from 500-1000 words",2023-09-28,"GPA>3.0, enrolled in university, household income<7500, permanent resident of US",2500,https://www.familydivorcelaw.com/scholarship
"The Law Offices of David A. Kadzai, LLC First Generation College Student Scholarship","Video Submission",2023-10-10,"First gen college student, enrolled in university, 16 year old+, permanent resident of US",2500,https://www.kadzailawgroup.com/scholarship
"Law Offices of Coats & Todd Overcoming Disability Scholarship","Video Submission",2023-10-05,"enrolled in university, at least 17, permanent resident of US",2500,"https://www.getdisability.org/scholarship#:~:text=Our%20firm%20is%20committed%20to%20helping%20those%20in,who%20are%20managing%20a%20disability%20while%20attending%20school."
"Voy Media Entrepreneur Scholarship","500-1000 word essay",2023-09-30,"enrolled in university",2500,https://voymedia.com/entrepreneur-scholarship/
"Future of Connectivity Scholarship","1,000-word creative non-fiction essay",2023-11-25,"pursuing technology, marketing, or business in university",2500,https://www.scholarships.com/award/MzEwMTEx0/2/N#
"Shape the Future Scholarship","Essay, transcripts and student ID",2024-06-30,"any educational level",2500,https://www.helptostudy.com/shape-the-future-scholarship/#google_vignette
"CHESTER Entrepreneur Scholarship","500-1,000 word essay",2024-05-30,"a student enrolled in an undergraduate or graduate school",2500,"https://accessscholarships.com/scholarship/chester-entrepreneur-scholarship/#:~:text=The%20CHESTER%20Entrepreneur%20Scholarship%20was%20created%20to%20help,at%20an%20accredited%20college%2C%20university%2C%20or%20trade%20school."
""What Will Be Your Trademark?” Scholarship","resume attached as a PDF and your 500 word or less essay",2024-06-10,"high school seniors, student enrolled in college, or students in law programs",2500,https://www.mandourlaw.com/trademark-scholarship/
"Zynergy Retirement Planning National Scholarship","essay no longer than 1,000 words",2024-07-01,"Monmouth County NJ residents, enrolled in college",2500,https://www.zynergyretirement.com/zynergy-retirement-planning-scholarship/
